"datetime","Measured_Temperature"
2023-12-09 14:37:39,23.11 °C
2023-12-09 14:37:40,23.12 °C
2023-12-09 14:37:41,23.13 °C
2023-12-09 14:37:42,23.14 °C
2023-12-09 14:37:43,23.16 °C
2023-12-09 14:37:44,23.17 °C
2023-12-09 14:37:45,23.18 °C
2023-12-09 14:37:46,23.20 °C
2023-12-09 14:37:47,23.21 °C
2023-12-09 14:37:48,23.22 °C
2023-12-09 14:37:49,23.23 °C
2023-12-09 14:37:50,23.25 °C
2023-12-09 14:37:51,23.26 °C
2023-12-09 14:37:52,23.27 °C
2023-12-09 14:37:53,23.28 °C
2023-12-09 14:37:54,23.30 °C
2023-12-09 14:37:55,23.31 °C
2023-12-09 14:37:56,23.32 °C
2023-12-09 14:37:57,23.33 °C
2023-12-09 14:37:58,23.35 °C
2023-12-09 14:37:59,23.36 °C
2023-12-09 14:38:00,23.37 °C
2023-12-09 14:38:01,23.38 °C
2023-12-09 14:38:02,23.40 °C
2023-12-09 14:38:03,23.41 °C
2023-12-09 14:38:04,23.42 °C
2023-12-09 14:38:05,23.43 °C
2023-12-09 14:38:06,23.45 °C
2023-12-09 14:38:07,23.46 °C
2023-12-09 14:38:08,23.47 °C
2023-12-09 14:38:09,23.48 °C
2023-12-09 14:38:10,23.50 °C
2023-12-09 14:38:11,23.51 °C
2023-12-09 14:38:12,23.52 °C
2023-12-09 14:38:13,23.54 °C
2023-12-09 14:38:14,23.55 °C
2023-12-09 14:38:15,23.56 °C
2023-12-09 14:38:16,23.57 °C
2023-12-09 14:38:17,23.59 °C
2023-12-09 14:38:18,23.60 °C
2023-12-09 14:38:19,23.61 °C
2023-12-09 14:38:20,23.62 °C
2023-12-09 14:38:21,23.64 °C
2023-12-09 14:38:22,23.65 °C
2023-12-09 14:38:23,23.66 °C
2023-12-09 14:38:24,23.67 °C
2023-12-09 14:38:25,23.69 °C
2023-12-09 14:38:26,23.70 °C
2023-12-09 14:38:27,23.71 °C
2023-12-09 14:38:28,23.72 °C
2023-12-09 14:38:29,23.74 °C
2023-12-09 14:38:30,23.75 °C
2023-12-09 14:38:31,23.76 °C
2023-12-09 14:38:32,23.77 °C
2023-12-09 14:38:33,23.79 °C
2023-12-09 14:38:34,23.80 °C
2023-12-09 14:38:35,23.81 °C
2023-12-09 14:38:36,23.83 °C
2023-12-09 14:38:37,23.84 °C
2023-12-09 14:38:38,23.85 °C
2023-12-09 14:38:39,23.86 °C
2023-12-09 14:38:40,23.88 °C
2023-12-09 14:38:41,23.89 °C
2023-12-09 14:38:42,23.90 °C
2023-12-09 14:38:43,23.91 °C
2023-12-09 14:38:44,23.91 °C
2023-12-09 14:38:45,23.89 °C
2023-12-09 14:38:46,23.90 °C
2023-12-09 14:38:47,23.91 °C
2023-12-09 14:38:48,23.91 °C
2023-12-09 14:38:49,23.90 °C
2023-12-09 14:38:50,23.90 °C
2023-12-09 14:38:51,23.91 °C
2023-12-09 14:38:52,23.90 °C
2023-12-09 14:38:53,23.91 °C
2023-12-09 14:38:54,23.91 °C
2023-12-09 14:38:55,23.89 °C
2023-12-09 14:38:56,23.90 °C
2023-12-09 14:38:57,23.92 °C
2023-12-09 14:38:58,23.91 °C
2023-12-09 14:38:59,23.89 °C
2023-12-09 14:39:00,23.90 °C
2023-12-09 14:39:01,23.92 °C
2023-12-09 14:39:02,23.93 °C
2023-12-09 14:39:03,23.92 °C
2023-12-09 14:39:04,23.91 °C
2023-12-09 14:39:05,23.89 °C
2023-12-09 14:39:06,23.91 °C
2023-12-09 14:39:07,23.90 °C
2023-12-09 14:39:08,23.91 °C
2023-12-09 14:39:09,23.90 °C
2023-12-09 14:39:10,23.91 °C
2023-12-09 14:39:11,23.90 °C
2023-12-09 14:39:12,23.91 °C
2023-12-09 14:39:13,23.90 °C
2023-12-09 14:39:14,23.91 °C
2023-12-09 14:39:15,23.90 °C
2023-12-09 14:39:16,23.91 °C
2023-12-09 14:39:17,23.90 °C
2023-12-09 14:39:18,23.91 °C
2023-12-09 14:39:19,23.90 °C
2023-12-09 14:39:20,23.91 °C
2023-12-09 14:39:21,23.90 °C
2023-12-09 14:39:22,23.91 °C
2023-12-09 14:39:23,23.90 °C
2023-12-09 14:39:24,23.88 °C
2023-12-09 14:39:25,23.87 °C
2023-12-09 14:39:26,23.86 °C
2023-12-09 14:39:27,23.85 °C
2023-12-09 14:39:28,23.84 °C
2023-12-09 14:39:29,23.82 °C
2023-12-09 14:39:30,23.81 °C
2023-12-09 14:39:31,23.80 °C
2023-12-09 14:39:32,23.79 °C
2023-12-09 14:39:33,23.77 °C
2023-12-09 14:39:34,23.76 °C
2023-12-09 14:39:35,23.75 °C
2023-12-09 14:39:36,23.74 °C
2023-12-09 14:39:37,23.73 °C
2023-12-09 14:39:38,23.71 °C
2023-12-09 14:39:39,23.70 °C
2023-12-09 14:39:40,23.69 °C
2023-12-09 14:39:41,23.68 °C
2023-12-09 14:39:42,23.66 °C
2023-12-09 14:39:43,23.65 °C
2023-12-09 14:39:44,23.64 °C
2023-12-09 14:39:45,23.63 °C
2023-12-09 14:39:46,23.61 °C
2023-12-09 14:39:47,23.60 °C
2023-12-09 14:39:48,23.59 °C
2023-12-09 14:39:49,23.58 °C
2023-12-09 14:39:50,23.56 °C
2023-12-09 14:39:51,23.55 °C
2023-12-09 14:39:52,23.54 °C
2023-12-09 14:39:53,23.53 °C
2023-12-09 14:39:54,23.52 °C
2023-12-09 14:39:55,23.50 °C
2023-12-09 14:39:56,23.49 °C
2023-12-09 14:39:57,23.48 °C
2023-12-09 14:39:58,23.47 °C
2023-12-09 14:39:59,23.45 °C
2023-12-09 14:40:00,23.44 °C
2023-12-09 14:40:01,23.43 °C
2023-12-09 14:40:02,23.42 °C
2023-12-09 14:40:03,23.40 °C
2023-12-09 14:40:04,23.39 °C
2023-12-09 14:40:05,23.38 °C
2023-12-09 14:40:06,23.37 °C
2023-12-09 14:40:07,23.35 °C
2023-12-09 14:40:08,23.34 °C
2023-12-09 14:40:09,23.33 °C
2023-12-09 14:40:10,23.32 °C
2023-12-09 14:40:11,23.30 °C
2023-12-09 14:40:12,23.29 °C
2023-12-09 14:40:13,23.28 °C
2023-12-09 14:40:14,23.27 °C
