"datetime","Heater_Regulation"
2023-12-09 14:39:50,0%
2023-12-09 14:39:51,0%
2023-12-09 14:39:52,0%
2023-12-09 14:39:53,0%
2023-12-09 14:39:54,0%
2023-12-09 14:39:55,0%
2023-12-09 14:39:56,0%
2023-12-09 14:39:57,0%
2023-12-09 14:39:58,0%
2023-12-09 14:39:59,0%
2023-12-09 14:40:00,0%
2023-12-09 14:40:01,0%
2023-12-09 14:40:02,0%
2023-12-09 14:40:03,0%
2023-12-09 14:40:04,0%
2023-12-09 14:40:05,0%
2023-12-09 14:40:06,0%
2023-12-09 14:40:07,0%
2023-12-09 14:40:08,0%
2023-12-09 14:40:09,0%
2023-12-09 14:40:10,0%
2023-12-09 14:40:11,0%
2023-12-09 14:40:12,0%
2023-12-09 14:40:13,0%
2023-12-09 14:40:14,0%
2023-12-09 14:40:15,0%
2023-12-09 14:40:16,0%
2023-12-09 14:40:17,0%
2023-12-09 14:40:18,0%
2023-12-09 14:40:19,0%
2023-12-09 14:40:20,0%
2023-12-09 14:40:21,0%
2023-12-09 14:40:22,0%
2023-12-09 14:40:23,0%
2023-12-09 14:40:24,0%
2023-12-09 14:40:25,0%
2023-12-09 14:40:26,0%
2023-12-09 14:40:27,0%
2023-12-09 14:40:28,0%
2023-12-09 14:40:29,0%
2023-12-09 14:40:30,0%
2023-12-09 14:40:31,0%
2023-12-09 14:40:32,0%
2023-12-09 14:40:33,0%
2023-12-09 14:40:34,0%
2023-12-09 14:40:35,0%
2023-12-09 14:40:36,0%
2023-12-09 14:40:37,0%
2023-12-09 14:40:38,0%
2023-12-09 14:40:39,0%
2023-12-09 14:40:40,0%
2023-12-09 14:40:41,0%
2023-12-09 14:40:42,0%
2023-12-09 14:40:43,0%
2023-12-09 14:40:44,10%
2023-12-09 14:40:45,0%
2023-12-09 14:40:46,10%
2023-12-09 14:40:47,0%
2023-12-09 14:40:48,10%
2023-12-09 14:40:49,0%
2023-12-09 14:40:50,10%
2023-12-09 14:40:51,0%
2023-12-09 14:40:52,10%
2023-12-09 14:40:53,0%
2023-12-09 14:40:54,10%
2023-12-09 14:40:55,0%
2023-12-09 14:40:56,10%
2023-12-09 14:40:57,0%
2023-12-09 14:40:58,10%

